S.No.,Acc.No.,Title,Author,Publiser/Year,Bill No,Date,Titles,Vol,Branch,Cost,Remarks,Publisher/Year
,1,A Course in Heat & Mass Transfer,Arora,": DPC, 1998",3935,18-09-1998,T,4.0,B.Tech,160,,
,2,A Course in Heat & Mass Transfer,Arora,": DPR, 1998",3935,18-09-1998,,,,160,,
,3,A Course in Heat & Mass Transfer,Arora,": DPR, 1998",3935,18-09-1998,,,,160,,
,4,A Course in Heat & Mass Transfer,Arora,": DPR, 1998",3935,18-09-1998,,,,160,,
,5,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,T,20.0,B.Tech,148.5,,
,6,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,7,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,8,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,9,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,10,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,11,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,12,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,13,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,14,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,15,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,16,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,17,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,18,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
,19,Higher Engineering Mathematics,"Chawla, Dass C",": ASIN, 1998",3931,18-09-1998,,,,148.5,,
